iter	Logloss
245	0.4739356608
246	0.4738907891
247	0.4738386824
248	0.4737977808
249	0.4737156807
250	0.4736697718
251	0.4736117839
252	0.4735482693
253	0.47348645
254	0.4734622422
255	0.473409806
256	0.4733520628
257	0.4732735898
258	0.4732108259
259	0.4731598137
260	0.4731124372
261	0.4730737659
262	0.4730358337
263	0.4730025427
264	0.4729361293
265	0.4728541634
266	0.4727891375
267	0.4727321356
268	0.4726875137
269	0.4726527953
270	0.4725906891
271	0.4725225868
272	0.4724872501
273	0.4724429506
274	0.4723844662
275	0.4723165897
276	0.4722433822
277	0.4722133905
278	0.4721609678
279	0.4721164816
280	0.4720710599
281	0.4720192917
282	0.471958455
283	0.4719169061
284	0.4718622331
285	0.4718318893
286	0.4717898103
287	0.4717547057
288	0.4717178062
289	0.4716881566
290	0.4716381011
291	0.4715960493
292	0.4715527032
293	0.4714982775
294	0.4714558853
295	0.4714056918
296	0.4713517695
297	0.4712825501
298	0.47123271
299	0.4711501267
300	0.4710890865
301	0.4710287012
302	0.4709860128
303	0.4709315874
304	0.4708676347
305	0.4707895344
306	0.4707327642
307	0.4707006741
308	0.4706427048
309	0.4705851849
310	0.4705557893
311	0.4705236252
312	0.4704899071
313	0.4704462375
314	0.470388753
315	0.4703594591
316	0.4703113273
317	0.4702329363
318	0.4701683269
319	0.4701192559
320	0.4700622121
321	0.4699951493
322	0.4699668464
323	0.4699356264
324	0.4698723317
325	0.4698273345
326	0.4697745635
327	0.4697420405
328	0.4697088202
329	0.4696583329
330	0.4696239449
331	0.4695855481
332	0.469522217
333	0.46946257
334	0.4693951889
335	0.4693585193
336	0.4693293
337	0.4692854977
338	0.469237918
339	0.4691939942
340	0.4691631215
341	0.4691114762
342	0.469045198
343	0.4689841812
344	0.4689431814
345	0.4689006803
346	0.4688569682
347	0.4688178967
348	0.468776514
349	0.4687395081
350	0.4687000964
351	0.4686704514
352	0.468628242
353	0.4685614818
354	0.4685053142
355	0.4684419623
356	0.468353104
357	0.4683125597
358	0.468256909
359	0.4682148811
360	0.4681733797
361	0.4680974667
362	0.4680269456
363	0.4679746601
364	0.4679490795
365	0.4678771161
366	0.4678299805
367	0.4677554397
368	0.4676830404
369	0.4676689852
370	0.4676297891
371	0.4675666564
372	0.4675037663
373	0.4674607264
374	0.4674370731
375	0.4673753913
376	0.4673040643
377	0.4672711516
378	0.4672351984
379	0.4672025236
380	0.4671771052
381	0.4671362366
382	0.4670845176
383	0.4670525859
384	0.4670337483
385	0.4669995213
386	0.4669657513
387	0.4669248396
388	0.4668880993
389	0.466847539
390	0.4668020888
391	0.4667537488
392	0.4667158978
393	0.4666762947
394	0.4666354427
395	0.4666047501
396	0.4665691731
397	0.466498123
398	0.4664844347
399	0.4664415728
400	0.4663963292
401	0.4663702247
402	0.4663341775
403	0.4662886195
404	0.4662604491
405	0.466225861
406	0.4661757012
407	0.4661038536
408	0.4660407855
409	0.4660039261
410	0.4659495929
411	0.4658808058
412	0.4658352356
413	0.4657904833
414	0.4657537813
415	0.4657195726
416	0.4656677571
417	0.4656141928
418	0.4655715503
419	0.4655039012
420	0.4654495518
421	0.4653907271
422	0.4653542112
423	0.465307178
424	0.4652516845
425	0.4651653636
426	0.4651183909
427	0.4650407744
428	0.4650142904
429	0.4649797778
430	0.4649284837
431	0.4648688468
432	0.464809612
433	0.4647751386
434	0.4647062502
435	0.464641849
436	0.4645950157
437	0.4645428483
438	0.4644892656
439	0.4644214752
